cycle,r_squared,p_center,p_height,p_width,p_fwhm,p_rise_time,p_decay_time,p_rise_decay_symmetry,p_sharpness,p_on,p_off,q_center,q_height,q_width,q_fwhm,q_rise_time,q_decay_time,q_rise_decay_symmetry,q_sharpness,q_on,q_off,r_center,r_height,r_width,r_fwhm,r_rise_time,r_decay_time,r_rise_decay_symmetry,r_sharpness,r_on,r_off,s_center,s_height,s_width,s_fwhm,s_rise_time,s_decay_time,s_rise_decay_symmetry,s_sharpness,s_on,s_off,t_center,t_height,t_width,t_fwhm,t_rise_time,t_decay_time,t_rise_decay_symmetry,t_sharpness,t_on,t_off,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval
23,0.9916398120890024,25530.471220759486,3996.813708520282,16.816571645702776,49.0,29.0,20.0,0.5918367346938775,0.011491658454382886,25501.0,25550.0,25625.152370697288,-3045.779598941805,6.539777862217747,19.0,12.0,7.0,0.631578947368421,-0.16279758536106137,25613.0,25632.0,25659.143226996377,50416.48607152141,10.272241624396141,26.0,13.0,13.0,0.5,0.043173302578311694,25646.0,25672.0,25688.899138885656,-9157.912032144963,6.539777862217747,19.0,7.0,12.0,0.3684210526315789,-0.12257051258972879,25682.0,25701.0,25881.942441518968,10614.230211826223,33.63314329140555,86.0,47.0,39.0,0.5465116279069767,0.0052596820706857315,25835.0,25921.0,112.0,63.0,88.0,220.0,308.0,49.0,850.0,852.0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.9892906733734087,27313.443847060487,4459.855305717643,15.882317665385957,50.0,18.0,32.0,0.36,0.01334315610397554,27295.0,27345.0,27421.45463920209,-3572.3882415285,5.605523881900925,16.0,10.0,6.0,0.625,-0.19398039978325632,27411.0,27427.0,27452.872247969808,49511.59754012228,10.169318573869218,26.0,13.0,13.0,0.5,0.043557777418498096,27440.0,27466.0,27483.1423395289,-9227.909477414527,6.539777862217747,20.0,7.0,13.0,0.35,-0.1160100686739309,27476.0,27496.0,27676.942441518968,10384.763256645942,33.63314329140555,89.0,50.0,39.0,0.5617977528089888,0.004662714026046748,27627.0,27716.0,116.0,66.0,85.0,220.0,305.0,50.0,1780.0,1793.0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.9935712654020821,29226.12982815359,4645.737058391536,24.290603488237323,58.0,27.0,31.0,0.46551724137931033,0.006377965934957355,29199.0,29257.0,29331.5945252602,-3823.431935513018,6.539777862217747,17.0,11.0,6.0,0.6470588235294118,-0.19199451064300482,29321.0,29338.0,29363.828251186238,51780.37756933051,10.239058762067566,26.0,13.0,13.0,0.5,0.04339629462599192,29351.0,29377.0,29393.7088746278,-8364.782543252471,6.539777862217747,19.0,7.0,12.0,0.3684210526315789,-0.12706949242258492,29387.0,29406.0,29588.77257715891,10452.09022940065,35.50165125203919,87.0,46.0,41.0,0.5287356321839081,0.00509650841278584,29543.0,29630.0,122.0,64.0,85.0,224.0,309.0,58.0,1913.0,1911.0
28,,,,,,,,,,,29656.0,,,,,,,,,29945.0,30116.0,,,,,,,,,30129.0,30154.0,,,,,,,,,30164.0,30187.0,,,,,,,,,30329.0,30394.0,,,,,,,,
29,0.9932982629393987,31105.556152939513,4143.685350006179,15.882317665385687,52.0,34.0,18.0,0.6538461538461539,0.015546854831334589,31072.0,31124.0,31193.509593080165,-3417.92053807769,5.605523881900567,15.0,10.0,5.0,0.6666666666666666,-0.22728602985000862,31184.0,31199.0,31225.16250750363,49454.692166719076,10.2968716477391,26.0,13.0,13.0,0.5,0.043248211596811865,31212.0,31238.0,31255.32055392808,-8573.45815204434,7.474031842534476,20.0,7.0,13.0,0.35,-0.1248046671609772,31248.0,31268.0,31449.77257715892,10507.26325416219,35.501651252005864,86.0,45.0,41.0,0.5232558139534884,0.0056978213498801306,31405.0,31491.0,112.0,60.0,84.0,223.0,307.0,52.0,1882.0,1861.0
30,,,,,,,,,,,31584.0,,,,,,,,,31966.0,32011.0,,,,,,,,,32025.0,32051.0,,,,,,,,,32061.0,32082.0,,,,,,,,,32224.0,32294.0,,,,,,,,
31,0.9898832428491585,32834.471220759486,4527.722128552773,16.816571645702776,53.0,33.0,20.0,0.6226415094339622,0.011964768335492757,32801.0,32854.0,32926.50959307991,-2728.4641123995643,5.605523881900925,16.0,11.0,5.0,0.6875,-0.2333307935189103,32916.0,32932.0,32959.19103841158,48982.78408580588,10.216279008843808,26.0,13.0,13.0,0.5,0.04341638865212004,32946.0,32972.0,32989.11436156913,-9849.892124234542,6.539777862217747,19.0,7.0,12.0,0.3684210526315789,-0.11506303876951238,32982.0,33001.0,33184.94244151897,11243.083524831527,33.63314329140555,86.0,47.0,39.0,0.5465116279069767,0.0048917634506986775,33138.0,33224.0,115.0,62.0,85.0,223.0,308.0,53.0,1729.0,1735.0
32,0.9885891580974361,33560.61371142054,4412.601562508709,17.750825626019594,51.0,21.0,30.0,0.4117647058823529,0.011346028956945453,33540.0,33591.0,33666.424660900135,-1718.5677620402055,4.671269901584105,12.0,7.0,5.0,0.5833333333333334,-0.30760669532796614,33659.0,33671.0,33699.33077086787,49240.092941906456,10.378328776763647,27.0,13.0,14.0,0.48148148148148145,0.04245553674338201,33686.0,33712.0,33729.405474739804,-9151.624775542623,6.539777862217747,18.0,6.0,12.0,0.3333333333333333,-0.12731585653951738,33723.0,33741.0,33924.027373699,12374.20354611551,32.69888931108873,87.0,49.0,38.0,0.5632183908045977,0.005765585687463676,33875.0,33962.0,119.0,68.0,82.0,221.0,303.0,51.0,723.0,740.0
