,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off
22,22,25894.67104027838,1.3784374180233532,0.257744438769214,26146.626034211564,-0.526288660921182,0.9780720478271573,26185.447986210846,1.726532059750778,11.05909876689711,26210.15174642113,-0.9227721902606887,0.49218513045342516,26501.72601729957,0.7574112144194501,7.64389620259217,0.5403598982785657,251.0,249.0,66.0,295.0,361.0,2.0,844.0,998.0,2.0,1.0,1.0,0.5,0.3589941547485955,0.22999959618360352,4.0,2.0,2.0,0.5,0.3886223887146826,0.22769892672097838,31.0,14.0,17.0,0.45161290322580644,1.7243350082153892,0.22789613966491332,2.0,1.0,1.0,0.5,1.431607354811209,0.22738907298084876,27.0,23.0,4.0,0.8518518518518519,,,,0.0,25894.0,25896.0,26145.0,26150.0,26178.0,26198.0,26209.0,26211.0,26500.0,26506.0
23,23,26846.602382852885,1.9376733365288568,0.25999503062589246,27150.575339099858,-1.8826700098870455,0.2638294864017919,27185.178713327216,1.8695707346132722,10.167756518634146,27215.424660900142,-0.5607260713831383,2.5479654008640567,27513.05113302868,0.6891028548598405,2.5479654008640567,0.5490099794324411,304.0,302.0,71.0,293.0,364.0,2.0,952.0,1002.0,2.0,1.0,1.0,0.5,0.5767031876558575,0.23321595866388148,2.0,1.0,1.0,0.5,0.2676322421009562,0.2269372340979625,25.0,11.0,14.0,0.44,1.9642540077117256,0.22895219817282603,7.0,1.0,6.0,0.14285714285714285,0.9047651683988067,0.22653040416782783,2.0,1.0,1.0,0.5,,,,0.0,26846.0,26848.0,27150.0,27152.0,27174.0,27196.0,27214.0,27221.0,27512.0,27514.0
24,24,27943.79532260335,16703.23878219491,-0.045282410476243574,28140.6228929381,-1.9366591078780235,0.26422517019870584,28186.178051898707,1.8227178895038874,10.518415669175779,28217.994405794634,-0.5978861165664414,0.6849933426365652,28482.849321800266,0.8003059663432998,5.095930801728113,0.5703297586115922,197.0,194.0,79.0,274.0,353.0,3.0,1097.0,1002.0,2.0,1.0,1.0,0.5,0.5521662909684941,0.21427829873625243,2.0,1.0,1.0,0.5,0.5393923108862589,0.20919444691203828,26.0,13.0,13.0,0.5,1.6695896407417352,0.21103814535831117,2.0,1.0,1.0,0.5,0.9644027083585387,0.21229428061985867,17.0,7.0,10.0,0.4117647058823529,,,,0.0,27943.0,27946.0,28140.0,28142.0,28173.0,28199.0,28217.0,28219.0,28480.0,28493.0
25,25,28790.983998363474,0.5193015760310189,-0.11692234252937331,29076.85900506804,-0.6259999120356459,0.6731523572031702,29185.23497120998,1.807809833944579,9.965961599877362,29210.83987751489,-0.7704236264671422,0.530705836415266,29494.204421926155,0.9308567579622109,0.8072228330407967,0.5377101647805282,285.0,283.0,137.0,284.0,421.0,2.0,847.0,995.0,2.0,1.0,1.0,0.5,0.556241833805404,0.22122940906939761,3.0,2.0,1.0,0.6666666666666666,0.5034131024140509,0.21959680940190512,25.0,14.0,11.0,0.56,2.146251410535169,0.21959680940190512,2.0,1.0,1.0,0.5,1.2695594778366237,0.21959680940190512,3.0,1.0,2.0,0.3333333333333333,,,,0.0,28790.0,28792.0,29075.0,29078.0,29171.0,29196.0,29210.0,29212.0,29493.0,29496.0
26,26,30866.930304868492,0.9756152921795469,0.05767615119038014,31117.20300126108,-0.6411561374679482,0.5132961672293892,31185.02289060135,1.753410661971221,10.035716241218745,31216.424660900142,-0.5993152980899312,2.5479654008640567,31489.575339099858,0.5751323997145388,2.5479652533284667,0.5594251290148887,250.0,248.0,101.0,274.0,375.0,2.0,2076.0,2001.0,2.0,1.0,1.0,0.5,0.3716096788924056,0.21275703804143498,2.0,1.0,1.0,0.5,0.47812890960594506,0.21422162751779,23.0,12.0,11.0,0.5217391304347826,1.9015464594281204,0.21422162751779,2.0,1.0,1.0,0.5,1.07010403825292,0.21422162751779,3.0,2.0,1.0,0.6666666666666666,,,,0.0,30866.0,30868.0,31116.0,31118.0,31174.0,31196.0,31215.0,31217.0,31488.0,31491.0
27,27,31991.923255609014,0.7779469872684349,0.10930022792973185,32100.086870228988,-0.5679541601792298,-0.10145508423957995,32185.01126352003,1.7682548501570534,11.246830751870412,32216.424660900142,-0.47651346728775873,2.5479652843021743,32501.575339099858,0.7629698435414469,2.5479654008640567,0.5397107842576203,107.0,104.0,121.0,284.0,405.0,3.0,1125.0,996.0,2.0,1.0,1.0,0.5,0.6467202655538686,0.21652097369325266,2.0,1.0,1.0,0.5,0.3727246766191216,0.21734567971147106,25.0,12.0,13.0,0.48,1.7935269972582344,0.22252326486653043,4.0,1.0,3.0,0.25,1.0297173893617637,0.22446690719224818,2.0,1.0,1.0,0.5,,,,0.0,31991.0,31994.0,32098.0,32101.0,32173.0,32198.0,32215.0,32219.0,32501.0,32503.0
28,28,32977.361016245355,1.1888433332617794,0.33039457225453345,33153.4236945938,-3.0584770476519476,0.22857308612263127,33185.227185297124,1.8157018568932501,10.767359784060563,33218.671999026104,-0.44859367543629347,2.5479654008640567,33492.575339099865,0.7067886107998826,2.547965400864056,0.5376965268269911,176.0,174.0,68.0,274.0,342.0,2.0,985.0,1006.0,2.0,1.0,1.0,0.5,0.6082247636576147,0.22222367521876282,2.0,1.0,1.0,0.5,0.3852222371687432,0.2346566169898087,24.0,11.0,13.0,0.4583333333333333,1.737272397598483,0.2315546052310461,2.0,1.0,1.0,0.5,0.6221066327035376,0.23642924134282658,2.0,1.0,1.0,0.5,,,,0.0,32976.0,32978.0,33152.0,33154.0,33177.0,33197.0,33218.0,33220.0,33492.0,33494.0
29,29,34064.367043040875,0.7045354590704633,0.4520500616853199,34136.36666187658,-1.1671757688427595,0.2851326668803582,34186.15890779025,1.837446600297089,10.276354211071823,34261.04755081261,-0.5355003502330514,0.6272728211816245,34487.42466090009,0.7207026906924836,2.5479654008640567,0.5336320432373766,72.0,69.0,127.0,229.0,356.0,3.0,1087.0,996.0,3.0,1.0,2.0,0.3333333333333333,0.32700346112176415,0.23117560740479104,2.0,1.0,1.0,0.5,0.548508008726466,0.22998791235691854,25.0,14.0,11.0,0.56,1.7425361848885839,0.22883606488570113,2.0,1.0,1.0,0.5,0.41771003046401617,0.22883606488570113,5.0,1.0,4.0,0.2,,,,0.0,34063.0,34066.0,34135.0,34137.0,34175.0,34197.0,34260.0,34262.0,34486.0,34491.0
30,30,35018.598346712555,0.5959215888758552,0.03065331419909817,35121.424660900135,-0.586167342090647,0.6321932363711473,35185.11635195015,1.7906621867125703,10.530814417878888,35261.24387537813,-1.2425344395256024,0.23737016011352532,35506.424660900135,0.7219978955226107,2.5479654008639594,0.5288649386182599,102.0,100.0,142.0,245.0,387.0,2.0,955.0,1000.0,2.0,1.0,1.0,0.5,0.6445095617397627,0.2267598581625948,3.0,1.0,2.0,0.3333333333333333,0.31255306659977905,0.2267598581625948,23.0,12.0,11.0,0.5217391304347826,1.6709129477573548,0.2267598581625948,2.0,1.0,1.0,0.5,1.081798608384506,0.2267598581625948,2.0,1.0,1.0,0.5,,,,0.0,35018.0,35020.0,35120.0,35123.0,35173.0,35194.0,35260.0,35262.0,35505.0,35507.0
31,31,36120.407330503396,1.529836138610013,0.27355782742600093,36152.093216193134,-19.733371370538755,0.033766202855323176,36188.45203459914,1.7022854694295995,10.913576286382662,36217.575339099865,-0.48330582181209464,2.5479654008640558,36475.849321800284,0.653583637312209,5.095930801728113,0.522523237665206,32.0,30.0,68.0,258.0,326.0,2.0,1101.0,1007.0,2.0,1.0,1.0,0.5,0.46206790606413656,0.2201817506337407,2.0,1.0,1.0,0.5,0.06649450554949687,0.22131546306639116,22.0,13.0,9.0,0.5909090909090909,1.8497397321637108,0.22134594259549287,2.0,1.0,1.0,0.5,1.055989508027599,0.22652103936876705,35.0,3.0,32.0,0.08571428571428572,,,,0.0,36119.0,36121.0,36151.0,36153.0,36176.0,36197.0,36217.0,36219.0,36473.0,36477.0
